time, out0, cell
278.0, 11308.0, 1.0
279.0, 11311.0, 1.0
280.0, 11335.0, 1.0
281.0, 11358.0, 1.0
282.0, 11381.0, 1.0
283.0, 11398.0, 1.0
284.0, 11417.0, 1.0
285.0, 11456.0, 1.0
286.0, 11486.0, 1.0
287.0, 11514.0, 1.0
288.0, 11546.0, 1.0
289.0, 11581.0, 1.0
290.0, 11599.0, 1.0
291.0, 11608.0, 1.0
292.0, 11634.0, 1.0
293.0, 11653.0, 1.0
294.0, 11655.0, 1.0
295.0, 11663.0, 1.0
296.0, 11663.0, 1.0
297.0, 11671.0, 1.0
298.0, 11699.0, 1.0
299.0, 11722.0, 1.0
300.0, 11723.0, 1.0
301.0, 11766.0, 1.0
302.0, 11777.0, 1.0
303.0, 11805.0, 1.0
304.0, 11822.0, 1.0
305.0, 11843.0, 1.0
306.0, 11865.0, 1.0
307.0, 11867.0, 1.0
308.0, 11880.0, 1.0
309.0, 11894.0, 1.0
310.0, 11913.0, 1.0
311.0, 11940.0, 1.0
312.0, 11971.0, 1.0
313.0, 11987.0, 1.0
314.0, 11989.0, 1.0
315.0, 11992.0, 1.0
316.0, 11996.0, 1.0
317.0, 12013.0, 1.0
318.0, 12031.0, 1.0
319.0, 12050.0, 1.0
320.0, 12050.0, 1.0
321.0, 12074.0, 1.0
322.0, 12102.0, 1.0
323.0, 12114.0, 1.0
324.0, 12125.0, 1.0
325.0, 12147.0, 1.0
326.0, 12154.0, 1.0
327.0, 12158.0, 1.0
328.0, 12170.0, 1.0
329.0, 12199.0, 1.0
330.0, 12220.0, 1.0
331.0, 12242.0, 1.0
332.0, 12265.0, 1.0
333.0, 12286.0, 1.0
334.0, 12301.0, 1.0
335.0, 12324.0, 1.0
336.0, 12350.0, 1.0
337.0, 12358.0, 1.0
338.0, 12365.0, 1.0
339.0, 12404.0, 1.0
340.0, 12420.0, 1.0
341.0, 12421.0, 1.0
342.0, 12446.0, 1.0
343.0, 12474.0, 1.0
344.0, 12487.0, 1.0
345.0, 12483.0, 1.0
346.0, 12491.0, 1.0
347.0, 12514.0, 1.0
348.0, 12556.0, 1.0
349.0, 12575.0, 1.0
350.0, 12584.0, 1.0
351.0, 12596.0, 1.0
352.0, 12624.0, 1.0
353.0, 12649.0, 1.0
354.0, 12689.0, 1.0
355.0, 12698.0, 1.0
356.0, 12703.0, 1.0
357.0, 12717.0, 1.0
358.0, 12758.0, 1.0
359.0, 12775.0, 1.0
360.0, 12776.0, 1.0
361.0, 12773.0, 1.0
362.0, 12798.0, 1.0
363.0, 12806.0, 1.0
364.0, 12837.0, 1.0
365.0, 12852.0, 1.0
366.0, 12845.0, 1.0
367.0, 12855.0, 1.0
368.0, 12846.0, 1.0
369.0, 12852.0, 1.0
370.0, 12872.0, 1.0
371.0, 12889.0, 1.0
372.0, 12892.0, 1.0
373.0, 12909.0, 1.0
374.0, 12923.0, 1.0
375.0, 12944.0, 1.0
376.0, 12931.0, 1.0
377.0, 12942.0, 1.0
378.0, 12957.0, 1.0
379.0, 12987.0, 1.0
380.0, 13010.0, 1.0
381.0, 13039.0, 1.0
382.0, 13060.0, 1.0
383.0, 13100.0, 1.0
384.0, 13106.0, 1.0
385.0, 13099.0, 1.0
386.0, 13117.0, 1.0
387.0, 13114.0, 1.0
388.0, 13157.0, 1.0
389.0, 13156.0, 1.0
390.0, 13180.0, 1.0
391.0, 13162.0, 1.0
392.0, 13167.0, 1.0
393.0, 13182.0, 1.0
394.0, 13192.0, 1.0
395.0, 13209.0, 1.0
396.0, 13232.0, 1.0
397.0, 13233.0, 1.0
398.0, 13267.0, 1.0
399.0, 13277.0, 1.0
400.0, 13277.0, 1.0
401.0, 13293.0, 1.0
402.0, 13287.0, 1.0
403.0, 13279.0, 1.0
404.0, 13301.0, 1.0
405.0, 13297.0, 1.0
406.0, 13287.0, 1.0
407.0, 13302.0, 1.0
408.0, 13317.0, 1.0
409.0, 13333.0, 1.0
410.0, 13357.0, 1.0
411.0, 13351.0, 1.0
412.0, 13379.0, 1.0
413.0, 13391.0, 1.0
414.0, 13411.0, 1.0
415.0, 13425.0, 1.0
416.0, 13439.0, 1.0
417.0, 13457.0, 1.0
418.0, 13475.0, 1.0
419.0, 13480.0, 1.0
420.0, 13503.0, 1.0
421.0, 13522.0, 1.0
422.0, 13534.0, 1.0
423.0, 13546.0, 1.0
424.0, 13561.0, 1.0
425.0, 13552.0, 1.0
426.0, 13580.0, 1.0
427.0, 13577.0, 1.0
428.0, 13589.0, 1.0
429.0, 13606.0, 1.0
430.0, 13634.0, 1.0
431.0, 13645.0, 1.0
432.0, 13649.0, 1.0
433.0, 13650.0, 1.0
434.0, 13654.0, 1.0
435.0, 13668.0, 1.0
436.0, 13682.0, 1.0
437.0, 13710.0, 1.0
438.0, 13701.0, 1.0
439.0, 13709.0, 1.0
440.0, 13700.0, 1.0
441.0, 13708.0, 1.0
442.0, 13720.0, 1.0
443.0, 13735.0, 1.0
444.0, 13739.0, 1.0
445.0, 13748.0, 1.0
446.0, 13754.0, 1.0
447.0, 13766.0, 1.0
448.0, 13772.0, 1.0
449.0, 13757.0, 1.0
450.0, 13774.0, 1.0
451.0, 13782.0, 1.0
452.0, 13814.0, 1.0
453.0, 13815.0, 1.0
454.0, 13809.0, 1.0
455.0, 13831.0, 1.0
456.0, 13832.0, 1.0
457.0, 13835.0, 1.0
458.0, 13843.0, 1.0
459.0, 13870.0, 1.0
460.0, 13890.0, 1.0
461.0, 13890.0, 1.0
462.0, 13893.0, 1.0
463.0, 13899.0, 1.0
464.0, 13902.0, 1.0
465.0, 13907.0, 1.0
466.0, 13906.0, 1.0
467.0, 13923.0, 1.0
468.0, 13938.0, 1.0
469.0, 13947.0, 1.0
470.0, 13966.0, 1.0
471.0, 13973.0, 1.0
472.0, 13997.0, 1.0
473.0, 14001.0, 1.0
474.0, 14017.0, 1.0
475.0, 14048.0, 1.0
476.0, 14050.0, 1.0
477.0, 14044.0, 1.0
478.0, 14080.0, 1.0
479.0, 14067.0, 1.0
480.0, 14081.0, 1.0
481.0, 14084.0, 1.0
482.0, 14091.0, 1.0
483.0, 14115.0, 1.0
484.0, 14132.0, 1.0
485.0, 14151.0, 1.0
486.0, 14167.0, 1.0
487.0, 14165.0, 1.0
488.0, 14187.0, 1.0
489.0, 14191.0, 1.0
490.0, 14223.0, 1.0
491.0, 14220.0, 1.0
492.0, 14216.0, 1.0
493.0, 14247.0, 1.0
494.0, 14248.0, 1.0
495.0, 14271.0, 1.0
496.0, 14294.0, 1.0
497.0, 14300.0, 1.0
498.0, 14331.0, 1.0
499.0, 14347.0, 1.0
500.0, 14365.0, 1.0
501.0, 14373.0, 1.0
502.0, 14393.0, 1.0
503.0, 14406.0, 1.0
504.0, 14416.0, 1.0
505.0, 14437.0, 1.0
506.0, 14431.0, 1.0
507.0, 14446.0, 1.0
508.0, 14462.0, 1.0
509.0, 14476.0, 1.0
510.0, 14483.0, 1.0
511.0, 14493.0, 1.0
512.0, 14491.0, 1.0
513.0, 14510.0, 1.0
514.0, 14521.0, 1.0
515.0, 14524.0, 1.0
516.0, 14528.0, 1.0
517.0, 14533.0, 1.0
518.0, 14535.0, 1.0
519.0, 14550.0, 1.0
520.0, 14550.0, 1.0
521.0, 14540.0, 1.0
522.0, 14531.0, 1.0
523.0, 14523.0, 1.0
524.0, 14528.0, 1.0
525.0, 14535.0, 1.0
526.0, 14545.0, 1.0
527.0, 14563.0, 1.0
528.0, 14570.0, 1.0
529.0, 14567.0, 1.0
530.0, 14570.0, 1.0
531.0, 14562.0, 1.0
532.0, 14575.0, 1.0
533.0, 14599.0, 1.0
534.0, 14631.0, 1.0
535.0, 14628.0, 1.0
536.0, 14630.0, 1.0
537.0, 14646.0, 1.0
538.0, 14642.0, 1.0
539.0, 14643.0, 1.0
540.0, 14645.0, 1.0
541.0, 14648.0, 1.0
542.0, 14643.0, 1.0
543.0, 14648.0, 1.0
544.0, 14661.0, 1.0
545.0, 14646.0, 1.0
546.0, 14655.0, 1.0
547.0, 14661.0, 1.0
548.0, 14663.0, 1.0
549.0, 14655.0, 1.0
550.0, 14640.0, 1.0
551.0, 14634.0, 1.0
552.0, 14651.0, 1.0
553.0, 14648.0, 1.0
554.0, 14656.0, 1.0
555.0, 14654.0, 1.0
556.0, 14635.0, 1.0
557.0, 14654.0, 1.0
558.0, 14671.0, 1.0
559.0, 14650.0, 1.0
560.0, 14653.0, 1.0
561.0, 14655.0, 1.0
562.0, 14657.0, 1.0
563.0, 14655.0, 1.0
564.0, 14663.0, 1.0
565.0, 14654.0, 1.0
566.0, 14644.0, 1.0
567.0, 14650.0, 1.0
568.0, 14647.0, 1.0
569.0, 14634.0, 1.0
570.0, 14635.0, 1.0
571.0, 14637.0, 1.0
572.0, 14648.0, 1.0
573.0, 14645.0, 1.0
574.0, 14655.0, 1.0
575.0, 14656.0, 1.0
576.0, 14656.0, 1.0
577.0, 14650.0, 1.0
578.0, 14651.0, 1.0
579.0, 14641.0, 1.0
580.0, 14660.0, 1.0
581.0, 14663.0, 1.0
582.0, 14672.0, 1.0
583.0, 14691.0, 1.0
584.0, 14674.0, 1.0
585.0, 14681.0, 1.0
586.0, 14701.0, 1.0
587.0, 14713.0, 1.0
